index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
88,MI-2006,4238804,4076258,4882494,2381206,2177108,2067046,2433972,1112714,975788,805656,743654,290694,496246,382900,343142,123958,42850,38342,36386,10860,21868,19688,17804,5190,138564,180726,105278,36206,70444,88934,50910,17064,2430,2466,1558,454,1158,1306,808,208,195268,81828,52986,17244,98420,39214,24912,7774
89,MI-2007,4176664,3997834,4842838,2465350,2144592,2026522,2411950,1156700,964862,794694,743412,300032,491062,378030,343252,128344,42900,38110,36848,11598,21858,19422,18104,5586,140708,179584,108614,39024,71392,87444,52532,18296,2360,2536,1600,502,1134,1366,834,242,204064,84648,54096,18274,103032,40328,25430,8200
90,MI-2008,4102080,3919052,4808076,2531326,2105802,1983074,2393500,1191750,947184,783152,742214,309866,482192,373398,343004,132304,42828,37904,37314,12384,22080,19320,18336,5934,141604,177424,112102,41634,71714,85864,54268,19380,2364,2480,1598,548,1122,1292,824,268,212836,87270,55336,19324,107508,41298,25988,8686
91,MI-2009,4025168,3848334,4778956,2603232,2065862,1946028,2378326,1229142,929312,774534,740586,320766,473098,369878,342514,137220,43608,37796,37724,13234,22358,19152,18710,6250,142214,175076,115718,44116,71662,84172,55982,20448,2300,2470,1684,582,1102,1302,870,282,222086,90714,56612,20340,112172,42874,26462,9142
92,MN-2006,2360880,2378738,2766036,1256574,1209334,1212132,1384022,593526,198728,164582,100730,22454,102196,83664,53972,10322,49638,37514,29566,8500,25502,19164,14492,3870,141170,146158,69188,20918,71128,71042,33100,9302,2054,2120,1162,244,1060,1164,598,110,108968,42942,20998,5074,55106,20546,9992,2284
93,MN-2007,2344536,2376772,2759944,1307488,1201072,1211384,1380400,619854,209006,170564,106366,24368,107452,86382,56864,11310,50714,38282,29966,9014,25946,19724,14592,4114,145392,152216,72928,22414,73386,73832,34838,10030,2102,2110,1278,272,1076,1154,638,122,116100,45938,21818,5448,58792,21832,10392,2474
94,MN-2008,2326284,2375724,2758604,1350992,1191022,1211392,1379878,642142,216242,176536,111418,26558,110750,89088,59290,12260,51748,39154,30512,9514,26588,20300,14812,4312,149566,156990,77196,23948,75302,76078,37066,10646,2246,2106,1288,270,1128,1146,634,124,123922,48686,22854,5858,62698,23074,10956,2656
95,MN-2009,2310288,2365568,2759930,1397432,1183584,1204890,1380358,666098,220228,180916,117308,29088,112860,91186,62212,13458,50994,39702,31008,10008,26116,20446,15180,4560,152558,161154,81792,25930,76760,77812,39278,11546,2224,2220,1282,310,1176,1144,634,136,131254,51536,23850,6370,66528,24202,11438,2906
96,MS-2006,893664,907122,1014994,589642,459876,464116,507144,272188,748674,612984,536782,197940,378090,285080,246626,83712,10950,9364,7116,2294,5548,4854,3460,1118,12896,17226,12304,3742,6572,8452,5382,1512,818,1134,578,134,396,694,260,58,25434,10618,8186,3424,12848,5172,3872,1526
97,MS-2007,898710,906954,1005464,608682,462210,464404,502580,282184,752982,617056,543644,205086,380656,287554,249580,87470,11230,9614,7248,2448,5722,4940,3540,1216,13406,17954,12816,3984,6946,8750,5650,1604,906,1262,524,142,426,780,270,64,27650,11268,8324,3600,14028,5556,3952,1610
98,MS-2008,901090,906418,1000242,622384,463120,464132,500198,289850,753316,619836,550014,214840,380908,289086,252162,91706,11526,9942,7480,2648,5850,5180,3694,1302,13856,18372,13448,4224,7134,8958,5936,1700,910,1360,558,158,440,818,286,74,29622,12088,8496,3802,14904,6022,4102,1672
99,MS-2009,897380,903970,996116,637146,460918,463416,497802,297834,750782,622744,552886,222360,379800,290162,252856,96352,11652,10446,7620,2710,5928,5406,3756,1304,14142,18900,13924,4570,7306,9176,6154,1864,1054,1510,606,180,478,892,304,78,31384,12556,8754,3926,15786,6202,4228,1722
100,MO-2006,2563566,2547770,2865170,1510264,1314628,1283516,1418392,701282,464864,385746,345994,132814,235812,182256,159846,54862,16820,16898,17358,5608,8722,8666,8608,2872,46838,70982,40260,14546,23070,34692,17852,6412,4076,4324,2172,486,2052,2214,1076,244,97580,42702,30518,11490,49292,21074,14490,5364
101,MO-2007,2563460,2555974,2857696,1563126,1314774,1288240,1415460,728612,465904,387068,351066,136622,236942,183444,162458,56642,17114,16934,17612,5906,8786,8808,8784,3028,48978,73500,41880,15622,24220,35824,18576,6858,4520,4514,2292,508,2244,2446,1138,238,104448,45174,31096,12118,52862,22178,14822,5712
102,MO-2008,2559372,2559390,2854210,1606110,1312360,1291014,1413254,751026,465386,389620,354974,140700,236774,185282,164290,58392,17386,17242,17902,6064,8870,8976,8916,3074,51318,74760,43628,16748,25324,36232,19518,7288,4774,5036,2398,544,2392,2606,1190,260,110998,47586,31790,12530,56210,23252,15214,5888
103,MO-2009,2550702,2563864,2853824,1650384,1307924,1293074,1413886,773688,463578,394422,358062,146344,235820,188024,166362,61072,17712,17128,18122,6418,9104,9002,9028,3238,52844,76628,45676,17840,26076,37066,20350,7678,5142,4896,2536,624,2562,2646,1268,298,117978,50466,32942,13052,59592,24628,15856,6174
104,MT-2006,425358,418416,532416,275556,219230,215746,266668,135604,3264,3072,1422,404,1794,2118,946,250,49454,32942,28138,9152,25242,16486,13718,4168,3154,4418,2904,1048,1434,1974,972,336,412,540,296,134,220,324,156,72,18432,9264,7246,2554,9534,4624,3448,1120
105,MT-2007,425650,423958,531796,288592,219358,219002,266018,142860,3344,3116,1466,406,1860,2104,978,254,49666,33556,28476,9622,25274,16808,13826,4442,3202,4472,3082,1102,1472,1970,1036,354,452,548,320,134,248,284,174,78,19510,9970,7442,2758,10120,4868,3564,1202
106,MT-2008,426570,430894,530202,300720,219826,222452,264776,149736,3294,3282,1502,438,1820,2270,1016,284,49864,33960,28754,9994,25232,17066,13962,4596,3212,4570,3300,1118,1456,2040,1098,358,460,548,322,128,264,298,174,72,20564,10358,7826,2938,10752,5178,3770,1300
107,MT-2009,424708,433494,526460,312762,218742,223932,262530,156222,3292,3298,1642,434,1828,2300,1134,266,50132,34706,28912,10530,25406,17464,13998,4854,3316,4668,3360,1312,1500,2060,1136,456,464,636,326,142,260,376,170,76,21578,11132,8080,3138,11216,5598,3904,1392
108,NE-2006,881550,842358,910916,454320,451750,430530,455712,212210,58674,48596,36962,12124,30236,24830,18596,5380,17388,12590,8192,2226,9148,6360,3958,978,17670,24046,12128,3938,8848,11984,5236,1766,1174,1326,624,156,588,780,320,72,30932,12194,5944,1598,15476,5868,2880,682
109,NE-2007,878886,843962,907208,468550,450344,430850,453704,219808,59900,48880,37686,12722,30740,25030,18954,5718,18176,12982,8574,2328,9610,6616,4116,1040,18436,24468,12592,4204,9238,11988,5528,1850,1224,1414,642,156,648,812,344,62,33130,13054,6198,1710,16578,6306,2968,738
110,NE-2008,877344,848776,903704,480306,449710,433390,451846,226046,62114,50166,38208,13118,32062,25718,19384,5882,19836,13452,8936,2476,10392,6876,4294,1120,19104,24964,13238,4492,9650,12228,5860,1938,1376,1486,716,172,692,816,366,76,35358,13968,6438,1824,17792,6734,3090,820
111,NE-2009,879682,854020,902594,494016,450358,436246,451080,233784,62762,51510,39144,13694,32396,26546,20018,6218,19458,13958,9410,2624,10052,7234,4574,1176,19620,25604,13832,4876,9822,12588,6192,2068,1454,1626,764,194,722,876,414,92,37768,14892,6860,1976,18974,7190,3278,864
112,NV-2006,1066130,1145910,1139814,584822,548876,599808,587284,291934,133788,121594,103922,41554,68938,61650,52888,19758,25282,23468,19524,6468,12744,12004,9716,3118,75978,108084,100844,43892,38850,49834,42136,18346,10496,11318,6962,2370,5322,5732,3462,1210,79618,41868,23676,7778,40922,20212,11206,3676
113,NV-2007,1090842,1167650,1151502,612532,561158,609602,593812,305756,140342,128190,109274,44034,71856,65382,55750,20850,26440,24942,20404,7092,13316,12764,10232,3462,82086,115724,108260,49026,41838,53490,45424,20472,11240,12080,7484,2672,5646,6004,3756,1364,85746,46166,24872,8440,43968,22184,11862,4014
114,NV-2008,1100090,1175294,1157808,636152,565512,612898,597538,317884,144448,134084,113966,46338,74012,68434,58406,21732,27266,25632,21188,7628,13690,13276,10654,3700,86848,120602,114572,53690,44372,55916,48038,22508,12064,12942,8000,2880,6104,6422,4022,1464,91546,49486,25870,9136,46892,23854,12320,4278
115,NV-2009,1100752,1166556,1162240,659100,565046,606732,600212,328960,146140,137480,117164,49006,74952,70318,60264,22728,27702,26380,21692,7966,13944,13728,10902,3906,89934,123034,118732,58070,46030,56896,50062,24284,12394,13434,8212,3174,6292,6804,4038,1578,96570,52488,27144,9676,49338,25174,12990,4560
116,NH-2006,642194,603790,808014,351156,328936,301974,401118,166680,11032,9916,6648,1646,5666,5738,3868,894,2038,2128,2280,580,994,1092,1190,328,14708,20876,12034,3140,7316,10318,5570,1432,324,342,286,60,154,156,134,24,16268,7166,5800,1590,8152,3452,2880,788
117,NH-2007,632710,596534,807150,369990,324008,298486,400034,176818,11292,10102,6846,1768,5908,5824,4040,912,2148,2080,2272,590,1050,1084,1184,330,15504,21326,12578,3514,7678,10310,5880,1598,316,326,298,54,158,150,140,22,17212,7602,5944,1672,8588,3708,2916,840
118,NH-2008,622176,590586,806710,386272,318980,295524,399714,185066,11726,10376,7254,1882,6108,5952,4308,990,2130,2198,2288,656,1036,1144,1178,378,16112,21718,13338,3846,7932,10358,6266,1762,318,312,330,54,156,154,158,24,18276,7902,6306,1878,9120,3812,3104,928
119,NH-2009,610154,583204,806986,400630,312678,291852,399406,192182,11836,10590,7586,1946,6138,6098,4484,1058,2086,2048,2308,714,1056,1026,1184,416,16706,21794,13990,4150,8194,10346,6560,1848,360,368,352,50,204,176,170,22,19110,8402,6478,1968,9544,4156,3152,984
120,NJ-2006,3330970,3221420,4015388,1963192,1714018,1636388,1975406,889808,795716,729370,675506,266058,403702,347644,308242,110040,24080,27606,18354,5492,12442,14852,9178,2448,357008,451550,367478,125220,181544,219310,177612,59428,4322,5354,3142,924,2110,2874,1510,460,128628,68420,47800,14468,65344,33162,22426,6440
121,NJ-2007,3298222,3179706,3984382,2016996,1697590,1617428,1959830,918256,790346,725458,682822,273270,401378,345752,312258,112766,25434,29650,19680,5900,13208,16010,9960,2710,367374,465848,379964,135368,186588,226280,183222,64196,4348,5368,3302,948,2140,2884,1626,452,136116,71980,49830,15416,69198,34926,23356,6838
122,NJ-2008,3267082,3158712,3974078,2056570,1681768,1609214,1954894,939762,786150,724426,690322,279514,399200,345774,316546,115306,27174,31536,20930,6430,14074,17142,10560,2952,378412,480348,393688,145406,192006,233766,189362,69100,4278,5562,3462,1026,2104,2938,1692,508,143958,75686,52072,16460,73214,36704,24452,7302
123,NJ-2009,3236818,3144758,3974872,2093924,1666044,1602008,1956150,959306,782748,725798,699462,288668,397572,345806,321316,118690,29944,33586,22536,6970,15436,18414,11402,3226,388590,489072,409530,155584,197234,237332,196634,73806,4514,5738,3712,1060,2214,3044,1768,514,151794,79784,54588,17412,77234,38534,25540,7688
124,NM-2006,900490,841128,951638,499816,459976,425990,465618,237364,30238,27690,22110,8056,15484,15646,12242,4176,146878,115904,91350,32546,73708,57594,43216,14162,13572,19490,15566,5452,6730,9338,6494,2166,1850,1836,1386,378,1000,1006,678,180,35932,18812,13746,4818,18172,9334,6590,2246
125,NM-2007,904576,850030,952548,523908,462136,430634,466230,249354,30724,28204,23046,8488,15766,15832,12852,4410,147208,117898,93214,34312,73788,58584,44088,14994,14082,19876,16074,5878,6944,9468,6688,2326,1908,1792,1410,420,1024,920,676,216,37832,20276,14274,5206,19076,10056,6886,2430
126,NM-2008,907100,851040,951302,544862,463850,430382,465580,259728,31102,28028,23488,8846,16026,15714,13084,4586,148548,119932,95354,35990,74378,59744,45048,15808,14756,20042,16552,6304,7272,9508,6978,2524,1998,1990,1378,434,1088,1062,644,212,40126,21466,14760,5652,20250,10618,7072,2588
127,NM-2009,913326,856384,949022,567476,466746,433612,464570,270846,31868,29062,23966,9390,16482,16396,13494,4800,148378,123212,97258,38068,74760,61352,45852,16612,15392,20070,17352,6830,7564,9484,7426,2754,2124,2086,1448,488,1098,1080,714,240,42576,22986,15468,6062,21444,11420,7538,2752
128,NY-2006,6894114,7346876,8165832,4173630,3539574,3705392,4017802,1893544,2053060,1930338,1795302,743824,1039544,901810,803250,295394,98122,100484,72742,22458,50310,51916,35592,9630,646172,946556,751828,274568,330864,452046,366174,128734,13244,15432,9426,2790,6682,7850,4434,1208,299124,195152,130522,41994,150776,91368,60506,18080
129,NY-2007,6806940,7311564,8086508,4289336,3494024,3690810,3981882,1954512,2032072,1917540,1800444,761822,1029526,898454,806670,304106,102546,106260,76946,24232,52530,55386,37608,10472,660454,968962,771186,292546,337842,461382,373850,137104,13152,15710,10006,2972,6508,8056,4722,1288,315908,204686,135922,45022,159264,95712,63098,19374
130,NY-2008,6740296,7311288,8052958,4370564,3458882,3694374,3968158,1997824,2016218,1919902,1813440,778846,1022100,899948,814262,311878,108534,112292,81274,26138,55432,58908,39860,11336,678574,990316,795148,311554,347030,470256,383746,145868,13502,16300,10502,3186,6716,8326,4954,1346,333982,216396,141840,48158,168486,100912,65872,20878
131,NY-2009,6672108,7311896,8026692,4464844,3423984,3694592,3959438,2047342,1998648,1933884,1825490,802062,1012694,906676,820634,322084,115760,118344,85812,28082,59124,62416,42112,12330,691550,1009646,819392,332952,353266,477758,393826,156010,14362,17024,10952,3314,7334,8618,5078,1450,352078,228300,148264,51758,177578,106280,68714,22340
132,NC-2006,3263890,3550340,3766486,2017724,1680768,1821794,1860674,932188,1238430,1102418,1055836,403430,627316,516094,485798,169076,86172,80702,65060,22962,44030,40980,31836,10554,103638,136664,83728,24152,51930,66802,38418,10776,5454,6710,2758,582,2884,3532,1452,294,142482,63872,36516,11456,72102,30546,16884,5042
133,NC-2007,3334872,3570606,3812974,2118902,1715868,1814978,1882860,982706,1260472,1116464,1084014,424278,638380,519144,498274,178942,89448,83354,66904,24564,45764,42290,32712,11412,111164,143412,90412,26752,55682,69396,41646,11872,5852,7192,3028,632,3102,3762,1568,324,158522,69466,39078,12512,80068,32808,18030,5540
134,NC-2008,3382046,3619520,3848152,2207664,1739536,1842756,1901082,1027136,1274460,1139396,1108274,448714,646106,532152,508880,190066,92738,86316,68292,26174,47512,43950,33538,12212,118286,151018,96226,29630,59238,73224,44466,13098,6228,7812,3300,712,3334,4212,1700,372,174090,75794,42156,13650,88106,35868,19504,6076
135,NC-2009,3402748,3627420,3881472,2287018,1750156,1841296,1917288,1065836,1285902,1156682,1125654,470890,652294,539586,515998,201376,96754,88988,70088,27774,49544,45268,34536,13034,123416,155124,102806,32456,61772,74970,47632,14244,6996,7902,3458,780,3658,4220,1786,416,189118,82002,44758,14602,95394,38650,20600,6510
136,ND-2006,292736,314878,339956,177854,150736,166486,173482,84186,5300,6056,1662,356,2860,3918,1102,212,29302,20432,14516,4458,15046,10122,6878,1984,2832,5362,2270,626,1432,2786,968,270,212,276,104,30,96,138,62,14,10062,4628,2052,646,5080,2298,998,280
137,ND-2007,290918,316708,338596,182360,149912,167374,172766,86644,5408,6306,1870,346,2896,3978,1160,232,29676,20616,14912,4648,15252,10230,7022,2116,3022,5890,2314,710,1552,3086,974,298,224,300,106,32,112,146,58,14,10504,4836,2154,668,5308,2390,1020,286
138,ND-2008,289690,319608,337750,186530,148976,168962,172442,89282,5986,6442,1798,384,3244,4140,1176,234,29880,21192,15334,4754,15346,10560,7186,2128,3082,6210,2364,788,1528,3270,1012,344,188,294,102,30,84,148,46,14,11166,5254,2328,736,5648,2592,1132,320
139,ND-2009,290048,325128,337716,190514,149158,171662,172490,91870,6236,7514,2128,416,3386,4604,1304,272,30070,21490,15588,5092,15356,10648,7346,2306,3240,6122,2692,900,1620,3240,1110,374,210,312,98,32,94,142,56,14,11974,5462,2428,772,6010,2732,1176,340
140,OH-2006,5000682,4914318,5777106,2895782,2563592,2471250,2853320,1327598,940972,762674,721406,295172,478648,365018,335848,125090,15338,16482,17904,5178,7882,8790,9188,2546,94258,139486,85152,30248,46334,68972,39400,13852,3096,3508,1896,568,1572,1976,888,256,202016,77512,49260,16248,101548,36630,23076,7328
141,OH-2007,4960972,4865972,5730170,2997708,2543584,2447220,2830484,1381648,944400,766082,727458,302446,480490,366302,339420,128430,15710,16654,18034,5542,8002,8828,9262,2742,97214,142950,87490,32420,47688,70672,40458,14778,3350,3706,1980,598,1672,1990,934,266,215978,81486,50412,17380,108706,38266,23774,7822
142,OH-2008,4916046,4822964,5703334,3075250,2519808,2426812,2818280,1423314,944650,769294,732846,311114,480254,367570,343174,132306,16104,16940,18172,5946,8072,8974,9340,2928,100546,144940,90504,34806,49204,71158,42074,15780,3470,3856,2112,622,1770,2102,998,292,230300,86322,51544,18256,116092,40458,24340,8210
143,OH-2009,4867090,4778780,5682314,3160650,2494162,2403654,2808842,1468580,940020,774482,737380,321096,477154,370332,346228,137064,16184,16628,18292,6202,8244,8858,9426,3028,103686,145746,94066,37010,50788,71482,43720,16778,3670,3838,2164,634,1822,2096,1058,298,244280,91050,53014,19202,123022,42642,25024,8750
144,OK-2006,1388254,1455632,1580468,896578,714472,746018,784428,416736,185920,164672,136972,49110,95138,84428,67114,21650,234232,173550,145494,55824,119646,86696,69790,25856,31302,45120,29456,9818,15902,22834,12674,3978,2988,3412,1562,392,1536,1846,784,196,159832,88666,67430,29468,80886,42976,32406,13094
145,OK-2007,1394350,1468300,1572292,925520,717060,753448,780944,431604,185880,167198,138508,51100,95172,86220,68102,22642,239350,176838,146994,58968,122174,88634,70566,27340,32594,46266,30756,10566,16544,23306,13374,4250,3208,3550,1630,414,1698,1864,824,202,168274,93168,67842,30636,85328,45084,32640,13636
146,OK-2008,1397290,1473470,1570974,947952,718392,754634,780722,443644,185412,166658,139422,53260,94836,85310,68818,23608,244774,180660,149404,61582,125080,90660,71956,28546,33954,47144,32012,11416,17270,23632,13930,4626,3426,3826,1768,476,1778,2082,932,228,177286,97790,68922,31450,89758,47250,33190,14006
147,OK-2009,1405752,1488214,1572884,971430,722430,762796,782078,456092,187048,169596,141174,55222,95362,87064,69932,24662,248922,185004,152498,64878,127050,93020,73672,30186,35678,48318,33204,12292,18186,23930,14652,4910,3600,3916,1836,494,1814,2062,964,250,188202,102736,70214,32226,95092,49300,34002,14336
148,OR-2006,1649896,1742442,1943804,981448,846682,890562,961320,465874,45422,42174,34518,10540,23364,23758,19384,5298,38880,36606,29902,8812,19910,18968,14476,4382,68722,93954,68768,24290,34228,43560,30794,10472,8624,9550,4966,1220,4444,4978,2566,520,102028,56294,37274,11922,51562,27240,17628,5880
149,OR-2007,1654006,1762596,1936230,1031986,848882,899736,958184,490806,46806,43458,35248,11186,24002,24318,19784,5678,40356,38302,30914,9464,20786,19932,15196,4686,70864,95934,71690,25940,35130,44156,32146,11080,9126,10142,5232,1236,4674,5286,2734,548,107498,60082,38456,12758,54366,29078,18158,6246
150,OR-2008,1656588,1779574,1930610,1078254,850102,906038,954776,514442,48082,44922,36236,11778,24966,24932,20472,6002,42270,39922,31450,10356,21852,20924,15350,5158,72560,96940,74666,27456,35988,44526,33254,11774,9432,10374,5640,1344,4834,5478,2920,616,113178,63548,39634,13698,57278,30664,18860,6682
151,OR-2009,1649168,1791892,1926386,1124452,846258,912368,953136,537884,49202,45800,37156,12322,25366,25310,21018,6226,44168,41146,32412,11246,22802,21692,16058,5572,74388,98024,77574,29356,36884,45028,34534,12594,10210,10738,5918,1540,5290,5566,3088,694,118642,67890,41224,14650,60032,32844,19668,7120
152,PA-2006,5152902,5152822,6422782,3449180,2641602,2597328,3178276,1575762,917822,760524,698976,285818,467832,368632,325660,117156,20788,20042,16860,4884,10874,10318,8376,2272,173264,234790,150386,52996,86152,115690,71480,25024,4452,4270,2600,778,2244,2198,1278,350,176866,75708,44326,13578,88748,35624,20750,6084
153,PA-2007,5110946,5131368,6383286,3545158,2619700,2588852,3159334,1628234,925974,771014,712380,292390,471936,374820,332662,120414,22668,21200,17812,5378,11892,10958,8820,2490,180358,243440,157432,57110,89432,119124,74988,26898,4660,4608,2618,810,2382,2408,1220,376,191154,81640,46496,14718,96008,38408,21862,6570
154,PA-2008,5063758,5117750,6363894,3613772,2595548,2583068,3151016,1668138,931700,782218,723852,300498,474342,380512,338560,124532,24592,22436,18762,5686,12932,11734,9298,2632,186200,250490,164826,61588,92102,122224,78106,29026,4964,4698,2826,852,2508,2414,1322,398,206402,87794,49068,15804,103504,41084,23214,7076
155,PA-2009,5016640,5109816,6354330,3690198,2571146,2580686,3146288,1711394,932830,797084,734412,309310,475356,387996,344718,128814,26304,23878,19612,6158,13490,12490,9738,2838,192104,257488,172806,66272,94892,125252,82124,31166,4964,4844,2872,870,2484,2482,1318,416,220648,93954,51980,16692,110512,44098,24442,7490
156,RI-2006,452444,477806,560834,275534,231240,236536,272946,124670,50794,45420,33498,10126,26224,22864,16550,4362,6048,4818,3738,1258,3012,2414,1768,546,18068,24162,13112,4270,8660,11412,6306,2026,1054,996,622,170,502,496,318,76,21564,10674,6276,1778,10696,5016,2992,792
157,RI-2007,443020,469886,553786,282718,226466,233516,268946,128584,51244,45894,34520,10530,26324,23054,17062,4570,6028,4914,3848,1306,3116,2486,1738,568,17928,24524,13304,4384,8502,11592,6346,2024,1060,1064,674,180,528,578,308,92,22742,11118,6478,1958,11360,5266,3052,882
158,RI-2008,435332,462834,551356,288092,222724,230486,267548,131488,51574,46280,35240,10982,26354,23238,17380,4834,6216,5180,4000,1322,3126,2590,1828,592,17994,24964,13736,4694,8552,11728,6582,2186,1034,1066,680,192,498,582,338,90,24114,11930,6712,2060,12120,5712,3212,912
159,RI-2009,426938,456732,549434,294348,218112,227482,266270,135156,52034,46772,36064,11584,26682,23430,17726,5140,6534,5382,4258,1356,3344,2718,1960,592,18046,25156,14170,4968,8562,11868,6742,2370,1156,1118,730,180,558,610,372,86,25266,12612,7062,2176,12710,5918,3384,968
160,SC-2006,1453414,1565884,1726774,991182,747812,801118,850662,466064,812702,695178,676450,269478,410950,326798,309558,113750,12294,13694,11122,3478,6412,7524,5632,1704,27892,37872,27298,9412,13932,18652,11854,4048,2042,2862,1076,246,972,1706,562,112,56086,23910,15630,5448,27912,11370,7552,2380
161,SC-2007,1479756,1590220,1739802,1047326,760930,813426,857364,493864,813754,700274,684656,282642,412020,330028,313066,120054,13336,14396,11592,3752,7102,7962,5876,1836,29778,39690,28840,10274,14834,19508,12586,4432,2244,3024,1104,290,1092,1828,598,138,61958,25922,16410,5908,30744,12280,7958,2620
162,SC-2008,1502222,1613606,1753684,1098382,771278,824688,864074,519102,815176,707912,692216,297806,412162,334232,316306,126992,14300,15218,12172,4172,7524,8360,6270,2064,31222,41186,30212,11276,15548,19970,13288,4828,2562,3234,1246,302,1280,1938,686,140,68532,28152,17232,6284,34086,13328,8360,2800
163,SC-2009,1513084,1624882,1766308,1144228,776342,829104,869390,541988,814012,714100,695674,309944,411850,337082,317336,133006,14658,15776,12494,4504,7530,8734,6474,2238,32156,42072,31630,12362,16046,20326,14074,5268,2552,3454,1274,318,1358,2068,682,146,74426,30248,18076,6706,36980,14282,8790,3002
164,SD-2006,355122,343264,397236,208898,182816,176670,201070,99122,6554,6086,2936,532,3382,4058,2054,318,62256,37908,26698,8556,31536,18888,12978,3704,3864,5230,2832,744,1848,2686,1162,270,276,346,198,36,122,188,110,18,15122,5766,3262,1012,7500,2808,1600,476
165,SD-2007,355546,345562,397990,215336,183166,177438,201476,102804,7168,6734,3074,564,3692,4372,2114,332,62972,38632,27372,8954,31938,19136,13340,3890,4032,5476,3002,786,1900,2854,1206,300,294,382,228,44,140,224,124,20,16040,6126,3452,1122,8028,2952,1704,498
166,SD-2008,355370,348464,397674,221516,183094,178828,201284,106246,7790,6690,3488,650,4000,4450,2374,354,63604,39752,27760,9336,32106,19756,13554,4114,4222,5412,3138,834,1986,2764,1294,314,324,406,240,44,170,244,128,26,16864,6524,3552,1222,8390,3180,1720,536
167,SD-2009,355612,352014,396666,227250,183352,181296,200818,109430,8270,7434,3692,690,4316,5030,2614,400,63592,40422,28558,9750,32370,20028,13934,4332,4576,6150,3384,1012,2198,3268,1428,360,320,442,248,54,162,250,136,26,18080,7092,3746,1224,8994,3486,1832,548
168,TN-2006,2433574,2575740,2856452,1541504,1250644,1298452,1406318,716006,694500,599620,534618,183606,351286,282676,245410,75662,11916,14476,12828,3988,6160,8052,6550,2116,46244,61794,40576,12646,22974,29884,18282,5786,2888,3766,1468,388,1524,2146,776,174,80016,34106,25502,9992,40174,16482,12390,4586
169,TN-2007,2456226,2598650,2859490,1611166,1262178,1313428,1407210,752376,696292,607394,542730,190730,351858,287182,249106,79256,13926,15320,13318,4356,7054,8594,6730,2316,48806,64044,42734,13612,24310,30778,19372,6138,3238,4172,1548,370,1706,2340,818,182,86880,36794,26370,10548,43748,17986,12802,4868
170,TN-2008,2479162,2594672,2872148,1674840,1273364,1304196,1412482,785262,698074,610036,551350,198674,352352,287672,252518,83378,15098,15600,13628,4688,7606,8600,6994,2504,50662,65212,44668,14704,25160,31218,20208,6662,3504,4174,1614,424,1836,2320,836,212,94256,38940,27434,11238,47342,18710,13368,5230
171,TN-2009,2481840,2602014,2876676,1729738,1274266,1309520,1415676,812078,695104,617310,557598,209272,350538,292038,255438,88216,15592,16340,14128,4990,7898,9062,7274,2666,52460,66242,47006,15824,25930,31538,21172,7100,3694,4750,1722,440,1974,2634,870,216,100852,41732,28282,11940,50402,20130,13796,5492
172,TX-2006,11472416,10959990,10191400,4622136,5887630,5599330,5073254,2154696,1900598,1725482,1481720,483060,967968,829716,702714,206822,131202,125984,98438,28392,67534,65546,49424,14022,455760,603442,439258,136946,233134,296178,209490,62806,18260,20290,10980,2716,9320,10470,5396,1312,315670,161750,106200,34556,159632,78270,51676,16190
173,TX-2007,11646762,11112272,10292186,4837960,5974616,5669198,5123712,2264708,1921968,1748340,1519586,504134,978770,841348,721870,217104,140356,134526,103956,31182,72350,69986,52402,15322,483576,631042,464210,150556,247194,309028,221398,69200,19438,21160,11660,2880,9912,10780,5752,1376,341638,174090,111292,37122,172654,83988,54100,17376
174,TX-2008,11819480,11257058,10413958,5036710,6060844,5740088,5185144,2364144,1949878,1778152,1555908,527218,992922,856568,740190,228492,151444,143712,110352,33916,77770,74890,55850,16692,510726,655588,490290,165734,260814,320196,234080,76296,20568,21836,12258,3162,10476,11132,6036,1478,367526,187426,116706,39748,185712,90376,56844,18684
175,TX-2009,11987964,11387392,10566750,5233110,6145208,5801352,5260900,2462444,1981488,1813170,1591138,557502,1008708,874350,757724,242586,166484,151942,117132,36464,84982,79534,59594,17960,536136,678332,518118,181946,273178,330156,247676,83554,21470,22532,13038,3360,10934,11438,6454,1592,393676,201206,122680,42234,198960,96824,59876,19884
176,UT-2006,1602220,1458156,1045846,474572,819304,743682,522210,225412,22720,18408,10420,2374,11882,11156,6464,1278,28248,23186,14826,3906,14318,11888,7180,1800,26702,38718,23660,8012,13248,18308,10460,3446,18716,14440,7260,1968,9648,7686,3794,992,54382,23108,9224,2254,27528,11684,4578,1080
177,UT-2007,1646696,1494450,1062476,497042,842596,762376,531326,236744,24876,19774,11146,2538,13032,11920,6890,1398,29330,24226,15710,4086,14792,12492,7740,1870,27944,39718,24822,8500,13898,18654,11114,3624,19746,15554,7662,2110,10182,8286,3992,1054,58824,25154,9738,2464,29902,12736,4828,1172
