index,state_year,educ
419,WA-2011,31.9
420,WA-2012,31.7
421,WA-2013,32.7
422,WA-2014,33.1
423,WI-2006,25.1
424,WI-2007,25.4
425,WI-2008,25.7
426,WI-2009,25.7
427,WI-2010,26.3
428,WI-2011,26.5
429,WI-2012,27.1
430,WI-2013,27.7
431,WI-2014,28.4
432,WV-2006,16.5
433,WV-2007,17.3
434,WV-2008,17.1
435,WV-2009,17.3
436,WV-2010,17.5
437,WV-2011,18.5
438,WV-2012,18.6
439,WV-2013,18.9
440,WV-2014,19.2
441,WY-2006,22.7
442,WY-2007,23.4
443,WY-2008,23.6
444,WY-2009,23.8
445,WY-2010,24.1
446,WY-2011,24.7
447,WY-2012,24.7
448,WY-2013,26.6
449,WY-2014,26.6
