index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
223,UT-2013,1845710,1602254,1140412,604656,941498,817948,571634,289116,31134,25156,14460,3506,16250,14774,8914,1912,35592,27710,18144,5440,18168,14274,8898,2522,37044,49948,31720,11560,18466,23874,14248,4850,23622,19540,9902,3196,12200,10366,5130,1640,79670,35304,12876,3632,40938,17652,6352,1728
224,UT-2014,1853884,1617512,1151080,631816,946006,825570,577122,302276,31302,26086,14958,3808,16378,15418,9178,2086,36370,28270,18470,5740,18446,14516,9104,2614,37654,52032,33098,12358,18906,25042,14782,5198,23624,20212,10294,3504,12162,10736,5284,1812,81524,37392,13350,3962,41908,18710,6568,1900
225,VT-2010,298588,279142,374842,199516,153916,139814,183892,95990,5802,4158,2374,628,3042,2430,1442,336,1278,1172,1610,530,672,628,784,274,5486,5870,3626,1138,2500,2630,1492,454,98,128,94,30,48,82,46,10,9974,4738,4046,1442,4978,2240,1924,688
226,VT-2011,296060,276728,371294,206968,152778,138990,182012,99862,5978,4442,2498,698,3118,2610,1524,362,1260,1190,1606,588,656,640,784,296,5918,6218,3946,1214,2696,2824,1608,480,100,118,92,34,52,72,48,12,10232,4940,4056,1550,5122,2364,1932,740
227,VT-2012,292226,274146,366418,214652,150688,137926,179628,103600,6026,4514,2662,760,3142,2664,1642,410,1222,1182,1546,636,632,630,756,314,5978,6368,4092,1304,2694,2972,1654,508,114,134,100,34,58,88,52,12,10428,5034,4104,1654,5200,2432,1956,796
228,VT-2013,288176,275448,359656,222538,148816,138880,176260,107486,6150,4798,2796,834,3216,2798,1684,462,1152,1180,1546,672,598,636,772,330,6032,6630,4294,1364,2734,3068,1754,522,108,118,112,42,50,76,56,16,10592,5184,4096,1780,5254,2524,1932,854
229,VT-2014,283214,276874,351660,230348,146064,139722,172530,111058,6120,5030,2842,842,3222,2952,1672,482,1130,1192,1530,716,594,660,768,356,6084,6734,4538,1462,2780,3154,1856,558,112,128,110,48,52,80,56,20,10914,5338,4066,1928,5438,2584,1916,928
230,VA-2010,2913138,3072262,3349260,1767608,1495096,1569166,1658262,833112,988112,889304,883418,343356,499676,431594,414672,148348,26232,28436,21280,6646,13444,15576,10920,3290,248252,318826,241526,88362,126072,150714,109460,39108,5198,6722,3618,910,2764,3606,1734,432,226098,99652,54352,16066,113370,46986,25704,7530
231,VA-2011,2915090,3081034,3359674,1823070,1497104,1573846,1665034,860332,978112,898534,888974,359484,494690,437452,417514,155820,26016,28470,21958,7102,13356,15542,11284,3526,253376,326008,252430,95312,128574,153918,114886,42054,5180,6882,3806,1000,2742,3728,1826,474,233836,103446,56446,17354,117430,48874,26634,8154
232,VA-2012,2917718,3091786,3367850,1880326,1497888,1581206,1671206,887848,969584,911488,895374,376830,490310,445340,420690,163688,25408,28784,22626,7570,13030,15732,11580,3764,260678,334268,265128,101982,132010,157274,121142,44826,5178,7042,3914,1102,2706,3806,1886,502,240982,107792,58650,18594,121316,51144,27634,8766
