index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
100,MD-2010,1765642,1795272,2141584,1108664,907536,912644,1056362,519176,1079486,973960,985592,377102,547524,452282,443232,158316,19538,21868,15584,4448,10146,12062,7818,2114,174786,218026,183170,74772,88326,102820,84010,34528,3216,4498,2498,578,1640,2494,1270,264,153656,68418,41310,12582,77416,31552,19044,5542
101,MD-2011,1760604,1799822,2139770,1137718,904782,916422,1055740,534384,1071074,984360,999794,397544,542858,459324,450980,166590,19350,21910,16070,4810,10016,12074,8078,2318,179104,222430,190148,79816,90776,104920,87344,36660,3292,4374,2628,620,1628,2372,1346,282,158440,70892,42686,13426,80028,32700,19660,5916
102,MD-2012,1751872,1805276,2134072,1170490,900058,921612,1053268,550942,1059442,994800,1012484,418652,537128,466564,457816,175052,19266,22086,16630,5096,9880,12156,8380,2432,183486,226596,197818,84748,92974,106856,90918,38818,3464,4330,2732,672,1722,2350,1408,302,163492,73594,44136,14170,82704,34190,20278,6262
103,MD-2013,1743334,1810112,2114574,1202232,895228,925280,1043818,566386,1049702,1007996,1021332,438148,531858,474674,462564,182992,19662,21852,17038,5470,10140,12040,8662,2620,186952,229460,204256,89666,94830,108376,94100,40970,3626,4440,2868,724,1818,2420,1476,318,167404,76294,45456,15072,84570,35682,20838,6628
104,MD-2014,1737618,1814688,2082402,1235502,891796,927962,1028734,582128,1041810,1023598,1024930,459640,527438,483784,465314,191696,20220,21722,17390,5884,10424,11892,8862,2818,189928,232276,210656,95164,96432,109462,97288,43258,3848,4438,3030,798,1942,2438,1550,360,171900,79360,46732,16016,86864,37164,21272,7026
105,MA-2010,2741088,2796992,3322950,1726172,1399820,1386876,1619266,789320,346332,308568,253790,91300,176566,147782,120570,38590,21118,19298,14474,4476,10890,10204,7014,2128,207638,278648,171594,60854,102176,132070,82074,28362,4270,4286,2488,788,2120,2168,1146,360,132788,66034,36708,11382,66400,30566,17062,5070
106,MA-2011,2719342,2793678,3323476,1774030,1388144,1388324,1619752,813734,349318,318196,260400,96698,178000,153372,123440,41082,20684,19920,14988,4730,10678,10462,7296,2256,212034,289016,180110,65536,104260,136986,86012,30512,4146,4434,2598,862,2058,2286,1208,386,139236,70004,38434,12130,69784,32664,17872,5428
107,MA-2012,2696182,2792940,3316244,1826090,1374840,1392430,1615882,840452,353280,329292,267816,102410,179866,160304,127014,43702,20416,20424,15504,5040,10498,10792,7602,2418,217538,300346,189830,70316,106976,142638,90590,32620,4088,4582,2732,924,2024,2406,1266,418,144824,73910,40352,12914,73030,35000,18760,5824
108,MA-2013,2672362,2808646,3295596,1880854,1360982,1401986,1605108,867240,357344,340808,274974,108220,181994,166636,130216,46468,19964,20914,15942,5330,10178,11074,7824,2578,223418,310404,199438,74826,109778,147668,95064,34546,4166,4876,2848,996,2044,2594,1318,456,150290,78300,42074,13776,75974,37500,19568,6216
109,MA-2014,2645378,2835024,3260962,1940096,1345910,1417420,1588380,895580,360480,352526,281602,114340,183730,173500,133306,49364,19470,21364,16240,5734,9892,11330,7996,2768,229704,321746,208978,80018,113054,152808,99678,36900,4208,4974,2932,1054,2060,2620,1360,492,154972,83044,43518,14844,78380,40436,20306,6712
110,MI-2010,4174046,3791724,4742264,2549134,2140136,1916600,2357044,1199580,962506,762128,731764,311532,489702,363378,337998,132440,46734,37770,37752,13178,23972,19142,18736,6190,152368,174058,114820,43620,76840,83062,55256,20104,2330,2324,1664,548,1146,1184,832,268,238034,90330,56770,19962,120298,42410,26498,8894
111,MI-2011,4111118,3772176,4721786,2622780,2109238,1906656,2345508,1238658,941320,769670,731716,323686,479208,367448,337612,137784,46590,37720,38248,13962,23860,19208,18952,6612,157614,179062,121214,46964,79526,85508,58530,21388,2460,2306,1706,606,1212,1202,858,302,241028,94432,58098,21050,122070,44474,27082,9438
112,MI-2012,4047288,3773742,4692120,2704804,2077288,1910024,2331106,1281668,918840,778752,731926,335568,467788,373660,338004,142542,46468,38156,38748,14756,23828,19508,19218,6948,161926,186154,128080,50384,81646,89450,61934,22724,2452,2336,1734,654,1204,1210,880,316,243788,98838,59574,22270,123708,46696,27686,10078
113,MI-2013,3994620,3791402,4640642,2793138,2049258,1921386,2305508,1327018,898108,784708,729332,346350,457270,378390,336626,146770,45900,38542,38936,15646,23448,19784,19294,7336,166630,193934,135666,53844,83856,93766,65504,24136,2532,2362,1788,706,1242,1218,922,336,246838,103648,60790,23472,125594,49168,28284,10644
114,MI-2014,3949514,3816454,4571114,2883958,2025600,1937380,2271812,1372234,880892,790474,726822,357092,448164,383102,335488,151456,45456,39104,39098,16502,23160,20036,19388,7740,170544,202508,143004,57138,85458,99104,69132,25576,2490,2364,1806,764,1242,1192,936,366,249386,109134,62018,24682,126990,51942,28782,11238
115,MN-2010,2414586,2356406,2744766,1373174,1236068,1199184,1371474,652020,231820,183706,117612,29032,118866,92254,62172,13452,53942,39708,31176,9794,27498,20360,15246,4478,164178,163596,82036,25902,82538,78850,39328,11498,2312,2072,1284,286,1180,1072,652,122,141584,52026,23758,6186,71734,24366,11450,2812
116,MN-2011,2400890,2342874,2743184,1421204,1228028,1193614,1370532,677278,237290,189642,122280,31372,121552,95578,64620,14408,55684,40278,31460,10330,28356,20676,15392,4678,167028,172122,86454,27946,84004,83266,41514,12418,2416,2128,1376,324,1226,1104,708,144,144986,54286,24814,6652,73458,25456,11912,2998
117,MN-2012,2385812,2331670,2730476,1473744,1219412,1189674,1364076,704292,241384,195998,126340,33676,123676,99318,66552,15530,57020,40564,31676,10786,29072,20868,15558,4852,169146,179950,90928,29886,85226,87236,43870,13226,2338,2128,1412,340,1174,1096,730,150,147450,56614,25840,7134,74928,26622,12400,3214
118,MN-2013,2366900,2345346,2703348,1530002,1209110,1197210,1350766,732634,247876,203676,130322,35900,127014,103628,68424,16566,58256,41294,31826,11320,29618,21248,15636,5068,171880,185898,95838,31750,86760,90042,46286,14072,2374,2250,1430,368,1186,1170,722,162,150422,59566,26722,7670,76550,28158,12824,3498
119,MN-2014,2352142,2360794,2665394,1586338,1201528,1205588,1332580,760964,257198,212084,134838,38596,131722,108258,70684,17906,59200,41668,31714,11876,30108,21460,15534,5344,175532,193014,100952,33700,88332,93832,48764,14940,2502,2322,1496,408,1256,1216,746,178,153492,62626,27664,8150,78058,29756,13244,3734
120,MS-2010,937306,900700,992520,622282,481048,461570,495184,289860,786080,617124,550144,216578,397314,287318,251746,93258,12574,10610,7598,2642,6402,5562,3746,1262,15188,19162,13976,4600,7832,9208,6254,1826,1106,1496,596,164,556,902,320,74,33954,12576,8850,3940,16950,6200,4262,1716
121,MS-2011,928176,898882,989046,634686,477392,459968,493412,296296,776356,623998,552648,227282,392428,290994,252316,98610,12428,10788,7618,2842,6328,5598,3744,1360,15610,19952,14484,5004,8068,9534,6414,2008,1018,1520,646,164,518,924,338,80,35468,12960,9062,4144,17736,6338,4398,1796
122,MS-2012,919478,896586,985058,646420,472894,458262,491806,302252,764530,630648,553896,238412,386282,295546,252244,103890,12436,10856,7756,3022,6254,5568,3792,1452,15504,20020,14914,5368,7986,9592,6634,2168,938,1454,698,170,478,864,370,82,37312,13392,9110,4368,18728,6468,4404,1934
123,MS-2013,912208,893276,977330,658212,469470,456404,488238,308208,753282,638960,555682,249238,380430,300746,252390,108978,12482,10966,7866,3166,6284,5634,3836,1546,15754,20744,15572,5910,8052,9980,6930,2414,978,1440,738,210,490,890,400,98,38908,14178,9272,4600,19482,6962,4468,2070
124,MS-2014,905408,889722,966574,669954,465330,454524,482904,313568,743194,644348,554812,261072,375250,304398,250962,114300,12686,11026,7894,3296,6368,5672,3856,1582,16154,21196,15948,6418,8226,10340,7042,2622,946,1430,746,234,494,892,400,110,40220,14782,9390,4818,20110,7252,4502,2180
125,MO-2010,2676746,2558564,2846610,1620228,1372060,1289796,1408520,756820,485412,392208,356344,142646,246964,186554,165504,59206,19098,17406,18088,6220,9794,9032,8992,3152,58850,77950,46048,17668,29066,37574,20462,7624,5866,5380,2610,574,2884,2780,1306,276,127216,51216,33072,12774,64236,24816,15904,6032
126,MO-2011,2652670,2553912,2838548,1658316,1360740,1286410,1404904,776596,480050,396672,357076,148090,244304,189158,165828,61608,19276,17362,18214,6708,9896,9016,9104,3410,60770,80566,48060,19040,30148,38608,21526,8196,6056,5642,2802,620,2964,2962,1408,296,130332,53176,33724,13468,65848,25794,16234,6406
127,MO-2012,2624866,2554076,2826456,1701124,1346664,1287056,1399324,797490,473196,402396,357516,154118,241200,192362,165852,64164,19470,17714,18268,7192,9922,9228,9114,3652,61536,81956,50280,20128,30588,39474,22676,8640,6196,5836,2988,656,3070,3044,1498,320,133624,55178,34438,14138,67834,26854,16504,6726
128,MO-2013,2597726,2566080,2804218,1744786,1333298,1294538,1388930,818826,466376,409934,358472,159856,238120,196704,166260,66642,19412,17996,18254,7750,9848,9410,9222,3900,62380,83096,52492,21290,31126,40104,23726,9102,6204,5968,3068,736,3134,3082,1534,380,137074,58184,34866,14846,69620,28434,16624,7092
129,MO-2014,2578502,2576382,2772252,1789340,1322756,1301602,1372932,840186,460478,415890,357740,165674,234886,200548,165890,69190,19810,18496,18162,8320,10038,9680,9214,4152,63874,85180,54900,22326,31844,41498,24820,9462,6348,6010,3226,812,3264,3110,1606,418,140794,60818,35228,15760,71478,29832,16840,7544
130,MT-2010,446440,433704,526602,307776,230060,223874,262348,153468,3394,3092,1566,420,1932,2172,1084,268,52434,34828,28900,10308,26556,17478,13952,4728,3654,4660,3354,1230,1620,1990,1104,396,474,538,318,140,272,300,160,74,23514,11294,8084,3072,12272,5548,3902,1360
131,MT-2011,445062,436120,520820,319222,229150,224878,259298,159486,3946,3712,1722,442,2158,2494,1166,272,52936,35758,28902,10804,26850,17820,13946,4994,4000,4810,3550,1380,1724,2106,1192,438,474,570,336,158,282,328,176,84,24022,11710,8200,3274,12558,5778,3904,1456
132,MT-2012,442594,439604,513962,332102,228072,226910,255636,166212,3906,4478,1986,502,2106,2954,1294,300,53862,36416,28990,11284,27320,18240,13942,5244,4022,4918,3706,1486,1746,2198,1242,482,464,564,330,168,256,334,174,86,24424,12206,8316,3490,12754,6034,3952,1562
133,MT-2013,441974,447994,506100,345800,228004,231506,251462,173184,4044,4438,1904,534,2166,2924,1272,320,54584,37386,29002,11742,27772,18724,14012,5424,4530,5632,3816,1684,2088,2624,1266,564,466,626,352,194,260,374,190,100,25052,12836,8470,3726,13068,6390,3986,1686
134,MT-2014,441364,455414,496414,360444,227586,235506,246768,180514,4052,4470,1950,552,2154,2974,1278,334,55524,37892,29002,12296,28356,19028,14020,5676,4630,6022,3896,1776,2192,2780,1296,592,446,634,368,196,256,390,198,104,25474,13568,8592,4040,13276,6806,4048,1848
135,NE-2010,928960,854130,899450,484948,475818,435896,449446,228514,66180,51900,39260,13246,34096,26844,20196,5976,20932,14150,9496,2540,10688,7296,4578,1150,21834,26296,13950,4808,10952,12924,6196,2064,1698,1600,702,172,850,898,370,76,41052,15164,6844,1834,20592,7378,3284,828
136,NE-2011,931024,854604,896454,497706,476548,435948,448190,235384,66764,52910,39716,13872,34462,27418,20494,6314,21794,14156,9698,2690,11128,7312,4664,1254,22588,26842,14800,5150,11242,13220,6672,2166,1666,1618,742,184,830,898,394,86,42468,15716,7110,1960,21290,7752,3384,892
137,NE-2012,932478,856806,891798,512298,477238,437454,446234,242844,67236,53840,40068,14488,34754,27844,20686,6632,22538,14262,9858,2896,11558,7416,4746,1348,23880,28266,15752,5606,11840,14022,7224,2304,1664,1610,762,198,822,916,402,96,43746,16282,7338,2064,21924,7968,3496,938
138,NE-2013,930910,864160,884908,527252,476928,441710,443004,250532,67638,55038,40808,15090,34930,28674,21092,6954,23228,14480,9916,3066,11902,7486,4806,1426,24906,29256,16464,6062,12418,14604,7644,2466,1620,1596,780,222,806,900,410,116,44910,17138,7710,2200,22550,8402,3702,1022
139,NE-2014,930078,871344,874388,543948,476252,446010,438340,258946,68620,56992,41314,15656,35284,30124,21404,7234,24332,14748,10146,3210,12368,7582,4996,1464,26956,31854,17536,6522,13416,15896,8292,2640,1688,1594,834,240,838,900,450,130,46408,18190,8040,2402,23316,8912,3852,1114
140,NV-2010,1141070,1163268,1152454,647914,585212,604156,593880,322802,152988,139542,117136,48182,78586,71524,59830,22300,29384,26282,21934,7628,14806,13462,11056,3614,97774,126602,121226,58410,50150,58084,51000,24214,13190,13660,8390,3094,6652,6858,4146,1528,104078,53626,26974,9544,53058,25532,12916,4474
141,NV-2011,1121350,1152514,1155274,670914,574850,596632,595846,333790,151918,142214,119608,50784,78154,72636,61040,23430,29120,26650,22288,7996,14592,13620,11272,3788,95964,127868,124256,63134,49410,58892,52362,26174,12934,13876,8658,3304,6524,6968,4268,1612,105860,55462,27780,10150,53982,26342,13244,4794
142,NV-2012,1109000,1151170,1164310,696842,568516,594994,600334,346640,154106,148742,124518,53844,79068,75964,63550,24906,28974,27194,22706,8570,14590,13860,11484,4082,94826,130710,128024,67978,48792,60386,54158,27940,12788,14052,8850,3584,6538,7056,4364,1710,108636,57920,29354,10910,55558,27742,13934,5134
143,NV-2013,1103230,1151584,1168192,723822,565744,594682,602270,359202,154960,152960,126730,56740,79526,77800,64514,26138,28784,27690,23070,9088,14474,14080,11638,4320,95380,134486,132568,73042,49182,62142,56170,29856,12936,14462,9222,3838,6634,7310,4534,1798,111838,60362,30730,11690,57140,29036,14550,5482
144,NV-2014,1101892,1156936,1171614,751488,565418,596910,603688,372850,158460,159324,129868,59850,81064,80936,65848,27462,29486,28380,23472,9672,14888,14366,11758,4588,95776,138086,136984,78356,49410,63936,57944,32054,13016,14546,9608,4126,6640,7268,4712,1924,115434,63694,32142,12518,58858,30720,15246,5886
145,NH-2010,633790,578624,803722,392360,324166,289410,397524,187690,12680,10566,7566,2000,6680,6200,4502,1046,2138,1948,2268,662,1070,1046,1150,386,17836,21984,14034,4074,8720,10384,6524,1848,350,330,328,42,180,158,160,18,20598,8386,6526,1946,10270,4070,3228,970
146,NH-2011,626342,572510,801450,406576,319836,287418,396170,194674,13050,11000,8092,2142,6816,6434,4810,1152,2146,1994,2272,710,1072,1070,1156,398,18860,23080,15050,4530,9044,10976,7128,2008,364,356,332,50,190,182,158,24,21104,8602,6676,2082,10650,4254,3278,1042
147,NH-2012,616314,568410,799666,422048,314462,286372,394770,202510,13440,11254,8970,2346,7018,6600,5278,1280,2134,2032,2290,790,1090,1102,1174,444,19672,24322,15998,4974,9316,11646,7574,2180,352,348,346,58,168,176,152,30,21408,9006,6902,2222,10890,4414,3406,1122
148,NH-2013,605370,569692,790962,438418,308662,287770,390256,210890,13604,11564,9322,2556,7074,6766,5494,1420,2080,2070,2328,874,1056,1138,1214,488,20090,25414,16902,5486,9558,12232,7916,2412,318,360,352,68,152,196,152,34,21728,9340,7080,2376,11090,4576,3524,1216
149,NH-2014,595148,578020,780670,456302,303530,293464,385014,219756,14090,12072,9540,2664,7308,7058,5714,1472,2062,2162,2304,936,1040,1194,1210,508,20536,26594,17772,5986,9816,12914,8254,2620,330,356,350,80,166,188,150,40,22078,9844,7178,2564,11296,4786,3612,1316
150,NJ-2010,3361580,3167488,3947474,2043702,1730796,1609526,1940868,931224,820042,726100,694672,280294,416046,345222,318112,114726,34128,34820,23094,7010,17686,19220,11842,3260,411802,506888,411522,154462,208928,244748,197504,73026,5060,5574,3702,1036,2512,2952,1770,506,164494,81488,55472,17350,83702,39124,26012,7656
151,NJ-2011,3338964,3136440,3946580,2084108,1717590,1597158,1940816,953342,811112,729708,703084,289900,411782,348124,322876,118774,33210,35202,23962,7444,17116,19482,12318,3492,417750,513806,423412,166210,211888,248936,203348,78438,5088,5710,3880,1122,2506,3024,1850,540,170436,83524,57486,18676,86790,40242,27020,8318
152,NJ-2012,3304092,3109528,3933766,2128606,1697726,1586678,1934786,976932,799710,735766,711212,299588,405962,353278,326878,122626,32602,35478,24764,8000,16616,19660,12748,3788,422484,516774,435936,176410,214482,250792,209422,83210,5194,5948,4032,1204,2518,3158,1904,582,175496,85698,59484,19796,89208,41520,27908,8862
153,NJ-2013,3265960,3102874,3901456,2176756,1676728,1585242,1920014,1001740,790932,743760,717142,308056,401200,359354,330492,126048,31936,35714,25312,8570,16206,19688,13014,4068,425244,517790,448638,186564,216008,251578,215726,87850,5202,6144,4162,1286,2508,3240,1988,614,180072,88356,60822,20812,91542,43146,28426,9356
154,NJ-2014,3227912,3104510,3848628,2229572,1656254,1586770,1894994,1028616,782928,751988,720212,316974,397200,365634,332182,130016,31148,35812,26178,9122,15706,19598,13510,4358,427602,518502,460146,196992,217154,251846,221152,92710,5208,6262,4264,1406,2518,3306,2006,670,184388,91416,62098,22236,93656,44646,29064,10000
155,NM-2010,964424,864038,951132,558884,493212,438312,464948,265826,34198,29506,24126,9222,17816,16704,13562,4722,156180,122642,97122,37578,78576,60984,45822,16368,16812,21084,17348,6746,8336,9986,7382,2674,2202,2036,1514,480,1194,1050,750,226,46284,23618,15780,6038,23342,11740,7626,2764
156,NM-2011,961072,870578,943874,578494,491340,442468,461036,275312,33870,30200,24280,9720,17574,17038,13658,5024,156278,125944,98368,39306,78698,62718,46426,17122,17066,22328,17814,7430,8406,10514,7558,2916,2190,2162,1524,506,1176,1100,744,238,47000,24660,16108,6388,23744,12216,7750,2970
157,NM-2012,951170,875544,932390,596098,487008,446414,455526,283794,33494,30762,24286,10150,17420,17448,13722,5260,155888,128372,99408,41072,78638,63914,46980,17794,17022,23120,18344,7946,8342,11010,7804,3100,2124,2210,1524,548,1140,1098,748,262,47550,25470,16198,6810,24220,12612,7770,3170
158,NM-2013,937284,881144,918320,614412,479796,451004,448880,291770,33304,31608,24230,10662,17340,18060,13688,5574,156574,131158,100314,42792,79022,65360,47476,18562,17086,23854,18866,8470,8362,11468,8014,3342,2082,2176,1528,600,1126,1086,758,280,48104,26588,16264,7158,24484,13270,7808,3336
159,NM-2014,920498,881620,899830,632900,471304,452538,440034,299818,32984,32274,24328,11108,17184,18430,13690,5818,157740,133356,100780,44652,79788,66478,47700,19358,16958,23574,19174,8860,8320,11256,8066,3566,2028,2148,1526,654,1100,1078,758,302,48260,27344,16244,7612,24684,13640,7828,3574
160,NY-2010,6990704,7305828,7965818,4356088,3587286,3689904,3924884,1989126,2101330,1931300,1812942,779372,1064098,902220,813926,311098,126880,121568,86448,27888,64880,64206,42306,12174,748280,1027716,825540,330728,381606,484504,395334,154578,15972,17048,11136,3404,8160,8534,5200,1434,384158,232540,149682,51462,193636,107836,69120,22296
161,NY-2011,6932536,7303206,7961112,4451880,3556022,3689752,3927822,2039704,2069150,1959958,1829034,808404,1047758,920634,821750,324398,124032,122088,89100,29682,63344,64474,43792,13022,752644,1050964,846020,354968,383876,495268,404342,166048,15702,17654,11536,3666,8026,8962,5410,1562,398648,238668,153844,54122,200986,110882,71232,23474
162,NY-2012,6858152,7303948,7928856,4555844,3515672,3695584,3915920,2092886,2031486,1989568,1839240,836000,1028232,941858,826626,337160,123160,122808,91246,31542,62814,64996,44822,13946,758998,1072328,867080,375974,387308,504714,413272,176062,15548,18126,11996,3838,7990,9306,5600,1664,410714,245662,157468,56774,207478,114490,73148,24686
163,NY-2013,6790364,7310754,7857060,4662238,3479062,3700598,3883116,2148076,1997882,2023414,1843944,862018,1011002,964008,829730,348756,119856,124034,93334,33424,61048,65654,46084,14824,768428,1085556,884556,397238,392044,510076,420114,186176,15246,18404,12460,4076,7874,9520,5800,1780,423074,252666,160520,59702,214068,118222,74590,26102
164,NY-2014,6707130,7323938,7749226,4774722,3434230,3710058,3831316,2204714,1962844,2047188,1840522,887578,992936,979882,828612,359804,116502,124318,95084,35516,59100,65690,47158,15814,780196,1101938,903068,419288,397698,517438,427472,196694,15044,18504,12770,4344,7778,9652,5916,1906,433730,260276,163316,62654,219612,122450,75918,27496
165,NC-2010,3596140,3649590,3881912,2256874,1852472,1856850,1913580,1047488,1361494,1160636,1126468,462106,689848,541458,516220,196432,104144,91148,70204,27388,53228,46526,34574,12826,135472,162330,103796,32746,68048,78370,48202,14384,7842,8500,3562,806,4086,4602,1816,430,206200,85402,45850,14530,103976,40222,21132,6408
166,NC-2011,3581434,3625792,3917910,2326998,1844376,1837898,1931936,1082008,1355126,1174392,1141470,487560,687062,548746,522150,207732,104412,90880,71838,28986,53304,46206,35560,13576,140222,168358,109616,35802,70294,81484,50982,15672,8166,8500,3776,868,4180,4552,1926,454,214272,87958,47696,15756,108220,41324,21930,7018
167,NC-2012,3562646,3607376,3954554,2403054,1834420,1827668,1950702,1118610,1350508,1188444,1156072,514798,684226,557362,527966,219608,105168,90862,73498,30524,53406,46048,36278,14276,146636,176760,116694,38906,73356,85788,54558,17080,8626,8502,3984,930,4354,4580,2046,472,221718,91220,49714,16936,112086,42572,22908,7556
168,NC-2013,3544990,3604828,3970550,2481862,1823754,1826960,1959254,1156198,1344966,1211074,1167332,541024,680482,570758,532706,230788,105244,90708,75240,32116,53348,45820,37074,14982,155052,186164,124310,42332,77604,90536,58428,18430,8986,8538,4286,1022,4502,4596,2250,504,228872,94916,51722,18116,115944,44320,23772,8116
169,NC-2014,3532726,3606458,3971428,2564388,1815724,1826272,1961050,1194852,1337626,1233712,1173848,567958,675210,584940,534742,242436,105948,90674,76430,33786,53524,45896,37708,15796,161670,194470,131790,45818,80946,94412,62318,19960,9228,8424,4434,1090,4664,4544,2336,542,235144,98808,53846,19404,119166,46220,24804,8660
170,ND-2010,314054,324254,338572,187122,161804,171912,172906,89928,7350,7010,2204,448,4064,4424,1428,284,31680,21556,15600,4990,16090,10670,7344,2230,3826,7032,2608,828,1956,3716,1096,342,242,300,110,24,124,158,60,12,12948,5690,2486,746,6446,2850,1216,334
171,ND-2011,316982,332626,337596,191292,162890,177358,172368,92566,8152,7798,2470,516,4502,4882,1556,340,32542,21974,15836,5138,16548,10892,7458,2280,4080,7534,2708,996,2068,4062,1158,410,256,342,120,34,140,168,72,14,13494,6094,2572,812,6750,3076,1266,368
172,ND-2012,323898,346090,337248,195822,166624,185216,172586,95212,9038,8966,2932,632,4894,5616,1840,406,33166,22552,15986,5398,16934,11154,7558,2408,4334,8126,2950,1118,2252,4354,1300,434,258,368,130,36,142,182,70,14,14234,6508,2780,854,7094,3362,1390,392
173,ND-2013,331826,363936,336684,201456,170490,195816,172700,98710,10418,11508,3774,738,5608,7184,2420,502,34268,23194,16136,5534,17476,11524,7642,2458,4794,8868,3264,1258,2558,4734,1466,514,264,378,116,42,150,196,54,18,15350,7268,2932,922,7672,3762,1496,414
174,ND-2014,338696,375734,333394,207660,174078,202952,171142,102450,11668,13764,4720,882,6210,8606,3104,588,35112,23798,16258,5694,18006,11914,7680,2496,5074,9188,3556,1262,2732,4930,1580,518,262,410,134,46,148,228,62,22,16178,8010,3092,986,8096,4172,1550,452
175,OH-2010,5070678,4740196,5648450,3093202,2597394,2383082,2789932,1430836,980698,767472,733460,312944,497318,366514,344204,132952,17464,16964,18374,6070,8982,8938,9488,2936,113064,149114,94134,36472,55444,72584,43822,16426,3980,3828,2214,606,1986,2104,1086,272,263136,91750,53072,18712,132474,42946,25112,8444
176,OH-2011,4999080,4718168,5626078,3171168,2561554,2372746,2779638,1471702,971792,774542,735966,324266,493276,370008,346044,137928,17478,16904,18606,6572,8952,8884,9614,3196,115926,152934,98238,38918,56762,74886,45728,17428,3906,3962,2254,676,1942,2170,1100,320,269132,96120,54262,19758,135900,45122,25598,8960
177,OH-2012,4930476,4693940,5594686,3254774,2527926,2363292,2765078,1514524,962144,784728,737484,336130,488870,376170,347340,143250,17380,16894,18768,7094,8880,8942,9668,3488,119756,158284,102864,41498,58544,77660,48034,18516,3950,4012,2314,764,1978,2220,1138,354,274234,100460,55520,20784,138834,47254,26250,9510
178,OH-2013,4873038,4705772,5540828,3344630,2499414,2372546,2738810,1560242,956848,802454,737904,347592,485446,386922,347608,148522,17464,17418,18852,7596,8910,9182,9720,3792,126470,167210,108138,44262,61818,82088,50510,19782,4094,4080,2396,852,2056,2246,1188,392,280324,106422,56990,21924,142300,50272,26944,10040
179,OH-2014,4826130,4720786,5463622,3439704,2475242,2382516,2700820,1607602,952248,820028,736432,359568,482738,397120,346912,154048,17700,17550,18674,8166,9146,9228,9600,4086,132712,175608,113878,47462,64834,86162,53388,21186,4188,4186,2506,936,2098,2312,1240,430,286302,112104,58418,23154,145438,53252,27628,10630
180,OK-2010,1486678,1493562,1571282,951036,763790,764002,779944,444590,198352,168792,140928,53796,101238,86588,69656,23922,263490,186844,152768,63552,134526,93954,73716,29424,39786,48866,33432,12024,20292,23942,14724,4766,4224,4304,1884,440,2140,2280,954,224,206528,104662,69878,31442,104112,50198,33588,13932
181,OK-2011,1485060,1500174,1569776,969754,763490,765730,779436,454408,198180,171204,141560,56154,101274,87692,69908,25176,265706,189888,154326,66294,135378,95552,74506,30688,41432,52402,34554,12954,21384,25430,15372,5170,4416,4396,1990,490,2260,2356,1026,238,210382,107896,70746,32214,106210,51550,33986,14276
182,OK-2012,1483144,1514450,1565308,990322,763538,773176,777782,464684,197730,174508,142162,58856,101294,89538,70212,26430,265816,193174,156044,69100,135396,97186,75476,31994,42570,55714,35746,13806,21948,27118,16036,5488,4826,4682,2102,546,2408,2506,1092,278,212882,110810,71818,33128,107746,53044,34416,14728
183,OK-2013,1486232,1529198,1558246,1010718,765106,780770,774482,474738,197976,179238,143294,61620,101402,92418,71068,27780,266444,197566,157828,71950,135676,99710,76392,33230,44138,59106,37560,14632,22682,28650,17090,5888,5094,4964,2184,592,2546,2618,1136,296,215604,114510,72642,34000,109250,54936,34736,15164
184,OK-2014,1488320,1536396,1543196,1032562,766132,784554,767438,485144,197288,182754,143188,64294,101098,94384,71124,29124,266898,201318,158992,74834,135768,101762,76900,34512,45750,61950,39374,15598,23352,30092,18048,6332,5292,5198,2298,662,2634,2726,1232,330,218918,117820,73670,34900,111096,56768,35028,15580
185,OR-2010,1726912,1794350,1921738,1109044,885402,911644,949106,529198,51704,46654,36776,12126,26818,26104,20890,6074,47822,41398,32642,11056,24712,21958,16216,5518,80916,99362,78136,29244,40106,45138,34690,12558,11086,11004,5826,1478,5762,5698,2992,682,129092,69294,41176,14356,65312,33646,19654,6922
186,OR-2011,1714878,1802958,1917954,1156120,878840,915132,947342,552642,51786,48052,37658,12920,26752,26856,21406,6474,48062,41630,33352,11760,24702,21908,16564,5844,83554,105408,81532,31578,41510,48116,36240,13474,10884,11852,6180,1684,5642,6112,3162,776,131030,71506,42406,15436,66634,34558,20192,7396
187,OR-2012,1697448,1809684,1911078,1203974,870440,917924,945328,575824,51704,49106,38538,13792,26540,27410,21898,6920,48108,42168,33988,12548,24662,22116,16898,6196,83682,109786,84718,33720,41482,50778,37556,14416,10786,12406,6464,1896,5534,6360,3310,890,132820,74096,43422,16474,67626,35850,20748,7792
188,OR-2013,1681274,1820790,1893890,1254008,862004,922864,938118,599806,51908,50592,38812,14562,26468,28222,22082,7338,47948,42404,34358,13320,24744,22264,17152,6492,83646,111824,88128,35734,41586,52076,38832,15256,10610,12574,6710,2038,5510,6460,3390,966,134464,77072,44228,17582,68602,37258,21202,8234
