index,state_year,income
385,TX-2013,65450
386,TX-2014,67630
387,UT-2006,79420
388,UT-2007,75880
389,UT-2008,85510
390,UT-2009,80300
391,UT-2010,76790
392,UT-2011,72890
393,UT-2012,75180
394,UT-2013,77730
395,UT-2014,79570
396,VA-2006,83040
397,VA-2007,83860
398,VA-2008,84760
399,VA-2009,83060
400,VA-2010,81750
401,VA-2011,82250
402,VA-2012,83290
403,VA-2013,83910
404,VA-2014,83050
405,VT-2006,75570
406,VT-2007,67180
407,VT-2008,69330
408,VT-2009,71830
409,VT-2010,75740
410,VT-2011,68120
411,VT-2012,71620
412,VT-2013,83410
413,VT-2014,76210
414,WA-2006,79560
415,WA-2007,82330
416,WA-2008,77440
417,WA-2009,82910
418,WA-2010,76060
419,WA-2011,74670
420,WA-2012,80140
421,WA-2013,81390
422,WA-2014,74150
423,WI-2006,75150
424,WI-2007,72690
425,WI-2008,70010
426,WI-2009,70340
427,WI-2010,68190
428,WI-2011,68380
429,WI-2012,68400
430,WI-2013,65860
431,WI-2014,72910
432,WV-2006,55860
433,WV-2007,59660
434,WV-2008,51950
435,WV-2009,55590
436,WV-2010,57930
437,WV-2011,54930
438,WV-2012,56120
439,WV-2013,54840
440,WV-2014,49650
441,WY-2006,68390
442,WY-2007,69090
443,WY-2008,72930
444,WY-2009,72040
445,WY-2010,70700
446,WY-2011,71600
447,WY-2012,74110
448,WY-2013,85870
449,WY-2014,69910
