index,state_year,AA,year
286,OH-2013,10.926666666666668,2013
287,OH-2014,10.920833333333334,2014
288,OK-2006,30.33666666666667,2006
289,OK-2007,30.08583333333333,2007
290,OK-2008,32.03416666666667,2008
291,OK-2009,30.36583333333333,2009
292,OK-2010,28.98166666666667,2010
293,OK-2011,27.377499999999998,2011
294,OK-2012,28.499166666666667,2012
295,OK-2013,25.284166666666668,2013
296,OK-2014,23.564999999999998,2014
297,OR-2006,14.760833333333332,2006
298,OR-2007,15.205,2007
299,OR-2008,13.299999999999999,2008
300,OR-2009,13.455833333333333,2009
301,OR-2010,12.921666666666667,2010
302,OR-2011,13.1275,2011
303,OR-2012,12.798333333333334,2012
304,OR-2013,11.6225,2013
305,OR-2014,13.2525,2014
306,PA-2006,20.143333333333334,2006
307,PA-2007,19.12666666666667,2007
308,PA-2008,18.770833333333332,2008
309,PA-2009,17.485,2009
310,PA-2010,17.128333333333334,2010
311,PA-2011,17.036666666666665,2011
312,PA-2012,16.703333333333333,2012
313,PA-2013,15.44,2013
314,PA-2014,14.512500000000001,2014
315,RI-2006,10.958333333333334,2006
316,RI-2007,10.908333333333333,2007
317,RI-2008,11.601666666666667,2008
318,RI-2009,12.3825,2009
319,RI-2010,12.669166666666667,2010
320,RI-2011,11.914166666666667,2011
321,RI-2012,12.8125,2012
322,RI-2013,12.26,2013
323,RI-2014,11.040833333333333,2014
324,SC-2006,48.612500000000004,2006
325,SC-2007,49.3375,2007
326,SC-2008,44.5875,2008
327,SC-2009,42.105,2009
328,SC-2010,38.487500000000004,2010
329,SC-2011,37.843333333333334,2011
330,SC-2012,35.035833333333336,2012
331,SC-2013,30.9225,2013
332,SC-2014,29.94666666666667,2014
333,SD-2006,15.542499999999999,2006
334,SD-2007,14.457500000000001,2007
335,SD-2008,16.1875,2008
336,SD-2009,10.809166666666668,2009
337,SD-2010,16.650000000000002,2010
338,SD-2011,14.607500000000002,2011
339,SD-2012,19.826666666666668,2012
340,SD-2013,21.07,2013
341,SD-2014,21.339166666666667,2014
342,TN-2006,44.54666666666666,2006
343,TN-2007,44.4175,2007
344,TN-2008,42.3125,2008
345,TN-2009,39.4325,2009
346,TN-2010,36.7725,2010
347,TN-2011,36.9225,2011
348,TN-2012,39.435,2012
349,TN-2013,35.61,2013
350,TN-2014,37.714166666666664,2014
351,TX-2006,26.4275,2006
352,TX-2007,25.595,2007
353,TX-2008,26.179166666666664,2008
354,TX-2009,24.894166666666667,2009
355,TX-2010,23.689999999999998,2010
356,TX-2011,21.925,2011
357,TX-2012,21.515,2012
358,TX-2013,20.591666666666665,2013
359,TX-2014,20.366666666666667,2014
360,UT-2006,11.736666666666666,2006
361,UT-2007,12.3575,2007
362,UT-2008,11.548333333333334,2008
363,UT-2009,11.150833333333333,2009
364,UT-2010,10.954166666666666,2010
365,UT-2011,10.4125,2011
366,UT-2012,10.9,2012
367,UT-2013,10.930833333333332,2013
368,UT-2014,9.838333333333333,2014
